"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.294677208E0,-2.656923607E-4,2.518444136E-2,-4.162879288E-2
2.304607208E0,8.102758788E-3,2.955548838E-2,-3.048532829E-2
2.314538208E0,6.524402648E-3,1.432104781E-2,-2.530428022E-2
2.324468208E0,1.761073130E-3,-1.894130185E-2,-3.581524268E-2
2.334398208E0,-5.374948494E-3,-4.412171990E-2,-4.731285200E-2
2.344328208E0,-1.170315221E-2,-6.418278068E-2,-5.649463460E-2
2.354259208E0,-1.986326277E-2,-7.393473387E-2,-6.240449846E-2
2.364189208E0,-2.489344031E-2,-6.669386476E-2,-6.817183644E-2
2.374119208E0,-3.280763701E-2,-5.805074796E-2,-7.850643247E-2
2.384049208E0,-4.145519063E-2,-5.212255195E-2,-9.025096893E-2
2.393980208E0,-4.547508433E-2,-4.267675430E-2,-9.364178032E-2
2.403910208E0,-4.043371975E-2,-1.431248896E-2,-8.051372319E-2
2.413840208E0,-3.396559879E-2,5.136963446E-3,-6.567953527E-2
2.423770208E0,-2.417661808E-2,2.245097235E-2,-5.687884986E-2
2.433701208E0,-1.476449054E-2,2.639863454E-2,-5.925991014E-2
2.443631208E0,-2.372629382E-2,7.647850085E-3,-6.708800048E-2
2.453561208E0,-3.805326670E-2,-2.834105864E-2,-7.326693088E-2
2.463491208E0,-5.654972047E-2,-4.276713356E-2,-7.652983069E-2
2.473422208E0,-6.845541298E-2,-3.330655769E-2,-6.933545321E-2
2.483352208E0,-6.921867281E-2,-1.066329889E-2,-6.150469929E-2
2.493282208E0,-6.710983813E-2,1.122377720E-2,-4.902917519E-2
2.503212208E0,-6.175955012E-2,1.537830848E-2,-3.646864370E-2
2.513143208E0,-5.921697617E-2,3.420376452E-3,-1.822459698E-2
2.523073208E0,-5.532743037E-2,-7.069015875E-3,-9.541361593E-3
2.533003208E0,-4.407726973E-2,-2.341678925E-2,-7.515375502E-3
2.542934208E0,-3.580096364E-2,-2.837000415E-2,-1.156737562E-2
2.552864208E0,-2.788022533E-2,-2.355840430E-2,-2.031971328E-2
2.562794208E0,-2.407430112E-2,-2.321299165E-2,-1.793618500E-2
2.572724208E0,-2.937197872E-2,-3.160946816E-2,-1.156381704E-2
2.582654208E0,-2.638977021E-2,-4.084664211E-2,-4.171147943E-3
2.592585208E0,-2.920165285E-2,-4.086145386E-2,-4.774426110E-3
2.602515208E0,-2.159273624E-2,-3.834583238E-2,-7.536389865E-3
2.612445208E0,-1.614682004E-2,-3.588166833E-2,-1.161723025E-2
2.622375208E0,-8.193822578E-3,-2.674702741E-2,-1.470489800E-2
2.632306208E0,5.452067126E-4,-2.021120489E-2,-1.285239682E-2
2.642236208E0,-3.872444853E-3,-1.429872029E-2,-1.181908883E-2
2.652166208E0,-4.149130546E-3,-4.081776366E-3,-1.122979540E-2
2.662097208E0,-2.605562331E-3,1.190384850E-2,-1.424236316E-2
2.672027208E0,1.308551989E-3,2.340276539E-2,-1.347244717E-2
2.681957208E0,7.542213425E-3,2.395617031E-2,-1.053471491E-2
2.691887208E0,1.664331742E-2,1.339907385E-2,-6.908364594E-3
2.701818208E0,2.427460440E-2,3.332858440E-3,-6.542713381E-3
2.711748208E0,2.261657082E-2,-1.160429977E-2,-6.675264798E-3
2.721678208E0,2.099071071E-2,-3.193753585E-2,-6.645703688E-3
2.731608208E0,2.094795182E-2,-3.638644516E-2,-5.240549333E-3
2.741538208E0,1.659980789E-2,-2.847499400E-2,-3.066077828E-3
2.751469208E0,1.613626815E-2,-1.612313837E-2,-3.358702175E-3
2.761399208E0,1.177906897E-2,-4.140510689E-3,3.756465390E-3
2.771329208E0,1.734281331E-2,-8.231702959E-4,1.374943834E-2
2.781259208E0,1.345912553E-2,-9.034761228E-3,2.566628531E-2
2.791190208E0,9.658177383E-3,-1.917833835E-2,3.032742813E-2
2.801120208E0,1.358702546E-3,-2.268252522E-2,3.874461725E-2
2.811050208E0,-4.981784150E-3,-2.767886780E-2,4.428651556E-2
2.820980208E0,-1.266074367E-2,-3.004268929E-2,4.170964286E-2
2.830911208E0,-1.507185213E-2,-2.992672659E-2,3.725529835E-2
2.840841208E0,-1.489075646E-2,-2.792669274E-2,3.056836501E-2
2.850771208E0,-1.497942396E-2,-2.024002001E-2,2.591709048E-2
2.860701208E0,-1.191971824E-2,-1.647883654E-2,1.865252107E-2
2.870632208E0,-1.074027177E-2,-1.885850541E-2,1.238159090E-2
2.880562208E0,-1.444073301E-2,-1.841322519E-2,4.922609776E-3
2.890492208E0,-2.180960029E-2,-2.121927589E-2,-1.161260530E-3
2.900422208E0,-2.615241706E-2,-2.807824872E-2,-3.902185708E-3
2.910353208E0,-3.782799840E-2,-3.005324118E-2,-9.359736927E-3
2.920283208E0,-4.330478981E-2,-1.081616431E-2,-1.796600968E-2
2.930213208E0,-5.533159152E-2,2.620802261E-3,-3.057780303E-2
2.940143208E0,-7.310605794E-2,7.254169323E-3,-4.427843541E-2
2.950074208E0,-8.183280379E-2,8.004475385E-3,-5.131277815E-2
2.960004208E0,-8.640997857E-2,1.139894035E-2,-4.758781567E-2
2.969934208E0,-7.937936485E-2,2.384857833E-2,-2.776536718E-2
2.979864208E0,-6.334873289E-2,2.847741917E-2,-1.172621176E-2
2.989795208E0,-4.767776653E-2,2.814494818E-2,-3.849641420E-3
2.999725208E0,-2.927798592E-2,2.783788554E-2,-2.073845826E-3
3.009655208E0,-1.364626270E-2,2.025878243E-2,-7.630125619E-3
3.019585208E0,-2.050326439E-3,1.310952473E-2,-1.436259691E-2
3.029516208E0,5.674388260E-3,8.294818923E-3,-1.842798665E-2
3.039446208E0,7.411035709E-3,-8.864291012E-4,-1.755180582E-2
3.049376208E0,6.543728057E-3,-1.758006029E-2,-1.365009043E-2
3.059306208E0,2.392658731E-3,-3.133448958E-2,-6.233452819E-3
3.069237208E0,-3.077042056E-3,-2.506765909E-2,1.466689166E-3
3.079167208E0,-4.844049923E-3,-1.639454067E-2,1.628132164E-2
3.089097208E0,-5.973795429E-3,-4.215892404E-3,3.263805062E-2
3.099027208E0,-1.422713976E-4,6.320105866E-3,4.710887372E-2
3.108958208E0,3.779765917E-3,1.990201138E-2,5.744408071E-2
3.118888208E0,8.505012840E-3,3.241247684E-2,5.350606516E-2
3.128817208E0,9.751422331E-3,3.493223712E-2,3.804992139E-2
3.138747208E0,1.123046502E-3,2.134478837E-2,1.441170461E-2
3.148678208E0,-4.562419839E-3,4.434199072E-3,2.262981609E-3
3.158608208E0,-1.431598049E-2,-1.132479031E-2,-4.395186901E-3
3.168538208E0,-1.486800425E-2,-2.196578868E-2,3.120846581E-3
3.178468208E0,-1.733968407E-2,-3.210044652E-2,1.016677171E-2
3.188399208E0,-2.251387201E-2,-2.930159681E-2,1.278916933E-2
3.198329208E0,-2.277299762E-2,-2.192330733E-2,1.242990885E-2
3.208259208E0,-2.189325541E-2,-6.921498105E-3,7.120779250E-3
3.218189208E0,-2.738522738E-2,-7.250398397E-3,-3.015211783E-3
3.228120208E0,-2.647810616E-2,-9.419830516E-3,-6.384568289E-3
3.238050208E0,-2.763285302E-2,-1.273493376E-2,-3.975739703E-3
3.247980208E0,-3.313526139E-2,-1.353381015E-2,-8.199840784E-3
3.257910208E0,-3.689058498E-2,-1.650270075E-2,-1.901813410E-2
3.267841208E0,-3.349020705E-2,-1.171893813E-2,-2.935326844E-2
3.277771208E0,-3.223852068E-2,3.004081780E-3,-3.883332014E-2
3.287701208E0,-1.919209585E-2,1.467101648E-2,-4.625155032E-2
3.297631208E0,-1.517338492E-2,1.137908269E-2,-4.868222028E-2
3.307562208E0,-1.173196547E-2,-8.739917539E-4,-4.943224415E-2
3.317492208E0,-4.660207778E-3,-3.174164100E-3,-5.254201964E-2
3.327422208E0,-8.285678923E-4,-1.612119609E-3,-5.702525377E-2
3.337352208E0,1.466011629E-3,-9.995924775E-4,-6.119123846E-2
3.347283208E0,-6.516697817E-3,-1.386382617E-2,-6.693480909E-2
3.357213208E0,-1.201878861E-2,-2.993626893E-2,-7.212024927E-2
3.367143208E0,-7.764237933E-3,-3.535916284E-2,-5.998562276E-2
3.377073208E0,-7.493129000E-3,-2.953136899E-2,-4.537712038E-2
3.387004208E0,-3.731047735E-3,-1.681673154E-2,-3.496136144E-2
3.396934208E0,-1.013914589E-2,7.467302028E-3,-3.182202578E-2
3.406864208E0,-1.593682915E-2,2.748760954E-2,-3.200611845E-2
3.416794208E0,-2.529704198E-2,4.206282273E-2,-3.026760370E-2
